family_name,initials,given_names,name,num_det
Jeanes,J.A.,Jeff,"Jeanes, J.A.",34366
Stajsic,V.,Val,"Stajsic, V.",27987
Beauglehole,A.C.,NULL,"Beauglehole, A.C.",22342
Maslin,B.R.,Bruce,"Maslin, B.R.",21100
Walsh,N.G.,Neville,"Walsh, N.G.",21075
Brooker,M.I.H.,NULL,"Brooker, M.I.H.",20371
Wilson,P.G.,Paul,"Wilson, P.G.",10963
Thompson,I.R.,Ian,"Thompson, I.R.",8460
Karunajeewa,N.G.,Nimal,"Karunajeewa, N.G.",8022
Willis,J.H.,James,"Willis, J.H.",7659
Short,P.S.,Phillip,"Short, P.S.",6395
Chinnock,R.J.,"Robert (Bob)","Chinnock, R.J.",6273
Orchard,A.E.,Tony,"Orchard, A.E.",5571
Aston,H.I.,Helen,"Aston, H.I.",5470
Womersley,H.B.S.,NULL,"Womersley, H.B.S.",5140
Entwisle,T.J.,Tim,"Entwisle, T.J.",5034
Jones,D.L.,"David Lloyd","Jones, D.L.",4908
Duretto,M.F.,Marco,"Duretto, M.F.",4525
Forster,P.I.,"Paul Irwin","Forster, P.I.",4468
Klazenga,N.,Niels,"Klazenga, N.",4306
Pedley,L.,Les,"Pedley, L.",4240
Stone,I.G.,NULL,"Stone, I.G.",4199
Mole,B.J.,Bryan,"Mole, B.J.",4175
Bean,A.R.,Tony,"Bean, A.R.",4111
Craven,L.A.,Lyn,"Craven, L.A.",3882
Halford,D.A.,NULL,"Halford, D.A.",3641
Blake,S.T.,NULL,"Blake, S.T.",3249
Simon,B.K.,Bryan,"Simon, B.K.",3236
Lander,N.S.,Nicholas,"Lander, N.S.",3162
Hosking,J.R.,John,"Hosking, J.R.",3124
Ross,J.H.,Jim,"Ross, J.H.",2995
Carolin,R.,NULL,"Carolin, R.",2942
George,A.S.,Alex,"George, A.S.",2937
Barker,R.M.,Robyn,"Barker, R.M.",2863
Thompson,J.,NULL,"Thompson, J.",2831
Conn,B.J.,Barry,"Conn, B.J.",2824
Messina,A.,Andre,"Messina, A.",2765
Thies,A.W.,Arthur,"Thies, A.W.",2761
Wilson,K.L.,Karen,"Wilson, K.L.",2578
Grimes,J.W.,Jim,"Grimes, J.W.",2518
Crisp,M.D.,Michael,"Crisp, M.D.",2482
Johnson,L.A.S.,"Lawrence Alexander Sidney","Johnson, L.A.S.",2452
Symon,D.E.,NULL,"Symon, D.E.",2413
Barrett,R.L.,Russell,"Barrett, R.L.",2372
Munir,A.A.,NULL,"Munir, A.A.",2325
Walters,N.E.M.,NULL,"Walters, N.E.M.",2272
May,T.W.,Tom,"May, T.W.",2264
McGillivray,D.J.,Don,"McGillivray, D.J.",2211
Smith,R.V.,NULL,"Smith, R.V.",2210
Filson,R.B.,Rex,"Filson, R.B.",2183
Gebert,W.A.,Wayne,"Gebert, W.A.",2183
Adams,L.G.,Laurie,"Adams, L.G.",2118
Downing,T.L.,Trisha,"Downing, T.L.",2058
Foreman,D.B.,Don,"Foreman, D.B.",2036
Randell,B.,NULL,"Randell, B.",2026
Hewson,H.J.,NULL,"Hewson, H.J.",2017
Wege,J.A.,Juliet,"Wege, J.A.",2016
Albrecht,D.E.,David,"Albrecht, D.E.",1984
Holland,A.E.,NULL,"Holland, A.E.",1948
Lepschi,B.J.,Brendan,"Lepschi, B.J.",1943
Mueller,"F. ","Ferdinand Jacob Heinrich","Mueller, F. ",1934
Ralston,K.,NULL,"Ralston, K.",1869
Muir,T.B.,NULL,"Muir, T.B.",1856
Lazarides,M.,Mike,"Lazarides, M.",1835
